"cop","Inf.round","clutch","selection_line","exposed","checking_day","cop_stage_checking","infection","grp","dead","dpi"
"4_050_3C",2,"S2","slow",1,5,"C2",0,"uninf",0,30
"4_050_3D",2,"S2","slow",1,5,"C2",1,"slow",1,29
"4_050_4A",2,"S2","slow",1,5,"C2",1,"slow",1,8
"4_050_4B",2,"S2","slow",1,5,"C2",0,"uninf",1,6
"4_050_4C",2,"S2","slow",1,5,"C2",1,"slow",0,30
"4_050_4D",2,"S2","slow",1,5,"C2",1,"slow",1,20
"4_050_5A",2,"S2","slow",1,5,"C2",1,"slow",1,6
"4_050_5B",2,"S2","slow",1,5,"C2",1,"slow",1,6
"4_050_5C",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_5D",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_6A",2,"","",0,5,"C2",0,"unexp",1,6
"4_050_6B",2,"S2","slow",1,5,"C2",1,"slow",1,6
"4_050_6C",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_050_6D",2,"S2","slow",1,NA,NA,NA,"slow",0,30
"4_051_1A",2,"F5","fast",1,5,"C3",1,"fast",1,20
"4_051_1B",2,"F5","fast",1,5,"C3",1,"fast",0,30
"4_051_1C",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_051_1D",2,"","",0,NA,NA,NA,"unexp",0,30
"4_051_2A",2,"F5","fast",1,2,"C2",1,"fast",0,30
"4_051_2B",2,"F5","fast",1,2,"C2",1,"fast",0,30
"4_051_2C",2,"F5","fast",1,2,"C2",1,"fast",1,6
"4_051_2D",2,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_051_3A",2,"F5","fast",1,2,"C2",0,"uninf",0,30
"4_051_3B",2,"F5","fast",1,2,"C2",0,"uninf",1,13
"4_051_3C",2,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_051_3D",2,"F5","fast",1,2,"C2",1,"fast",1,6
"4_051_4A",2,"F5","fast",1,2,"C2",1,"fast",1,29
"4_051_4B",2,"F5","fast",1,2,"C2",0,"uninf",0,30
"4_051_4C",2,"F5","fast",1,2,"C3",0,"uninf",1,8
"4_051_4D",2,"F5","fast",1,2,"C3",0,"uninf",1,6
"4_051_5A",2,"F5","fast",1,2,"C2",0,"uninf",1,6
"4_051_5B",2,"F5","fast",1,2,"C2",1,"fast",1,8
"4_051_5C",2,"F5","fast",1,2,"C3",0,"uninf",1,6
"4_051_5D",2,"F5","fast",1,2,"C3",0,"uninf",1,8
"4_051_6A",2,"F5","fast",1,2,"C2",1,"fast",1,29
"4_051_6B",2,"","",0,2,"C3",0,"unexp",0,30
"4_051_6C",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_051_6D",2,"F5","fast",1,NA,NA,NA,"uninf",0,30
"4_052_1A",2,"C12","control",1,5,"C2",0,"uninf",1,6
"4_052_1B",2,"C12","control",1,NA,NA,NA,"uninf",0,30
"4_052_1C",2,"C12","control",1,NA,NA,NA,"uninf",0,30
"4_052_1D",2,"","",0,NA,NA,NA,"unexp",0,30
"4_052_2A",2,"C12","control",1,5,"C2",1,"control",1,6
